Q;pipeline;cpu_cost;io_cost;mem_cost;dop_pl;power;time;energy;governor;frequency;db_name;dop_q;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL1;6577804.3;13445055.0;0.0;0.0;45.82388990825688;108.183241;4957.376925502422;userspace;3400000;tpch_sf30;0;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL2;1124955.8;1671781.0;0.0;0.0;47.39681818181818;10.725339;508.34694252136364;userspace;3400000;tpch_sf30;0;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL1;6577804.3;13444895.0;160.0;0.0;42.640875;118.66606;5060.0246312025;userspace;3000000;tpch_sf30;0;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL2;1124955.8;1671717.0;64.0;0.0;43.16271428571429;13.88064;599.1260984228571;userspace;3000000;tpch_sf30;0;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL1;6577804.3;13444735.0;320.0;0.0;40.65200769230769;129.509526;5264.822247179122;userspace;2700000;tpch_sf30;0;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL2;1124955.8;1671653.0;128.0;0.0;41.4748125;15.106439;626.5367250676875;userspace;2700000;tpch_sf30;0;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL1;6577804.3;13444575.0;480.0;0.0;38.50310828025478;155.75332;5996.986944969172;userspace;2300000;tpch_sf30;0;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL2;1124955.8;1671589.0;192.0;0.0;39.4274375;15.679718;618.211101462625;userspace;2300000;tpch_sf30;0;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL1;6577804.3;13444415.0;640.0;0.0;36.828554347826085;182.898077;6735.87176890738;userspace;1900000;tpch_sf30;0;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL2;1124955.8;1671525.0;256.0;0.0;37.61868181818182;21.418682;805.7425831228182;userspace;1900000;tpch_sf30;0;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL1;6577804.3;13444255.0;800.0;0.0;35.52513191489362;233.258292;8286.531593542775;userspace;1500000;tpch_sf30;0;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL2;1124955.8;1671461.0;320.0;0.0;35.8725;23.894547;857.1571372575;userspace;1500000;tpch_sf30;0;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL1;6577804.3;13444095.0;960.0;0.0;35.15003174603174;250.968568;8821.553132456127;userspace;1200000;tpch_sf30;0;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL2;1124955.8;1671397.0;384.0;0.0;35.4411;29.046358;1029.4348785138;userspace;1200000;tpch_sf30;0;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL1;6577804.3;13443935.0;1120.0;0.0;35.25387401574803;253.257028;8928.291358714772;userspace;800000;tpch_sf30;0;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL2;1124955.8;1671333.0;448.0;0.0;35.35432258064516;30.326733;1072.1811012990968;userspace;800000;tpch_sf30;0;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL1;0.34;10088496.0;1352.0;0.0;46.8095;0.362332;16.960579753999998;userspace;3400000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL2;3867753.51;13462611.0;1608.0;2.0;56.77937037037037;52.556838;2984.144170297556;userspace;3400000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL3;1124955.8;1675326.0;512.0;2.0;63.3746;4.859309;307.95676415139997;userspace;3400000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL1;0.34;10088238.0;1736.0;0.0;35.827;0.39565;14.174952549999999;userspace;3000000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL2;3867753.51;13462257.0;2088.0;2.0;53.44340384615385;50.915735;2721.11018772875;userspace;3000000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL3;1124955.8;1675178.0;704.0;2.0;56.87683333333334;5.105961;290.4108928035;userspace;3000000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL1;0.34;10088050.0;2120.0;0.0;40.139;0.430464;17.278394496;userspace;2700000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL2;3867753.51;13461973.0;2568.0;2.0;49.975145454545455;54.147742;2706.0412824852;userspace;2700000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL3;1124955.8;1674974.0;896.0;2.0;53.43933333333334;5.365046;286.7044815426667;userspace;2700000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL1;0.34;10087542.0;2504.0;0.0;37.547;0.487054;18.287416538;userspace;2300000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL2;3867753.51;13461369.0;3048.0;2.0;46.09419672131148;60.96447;2810.1082731904917;userspace;2300000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL3;1124955.8;1674778.0;1088.0;2.0;47.92557142857143;6.000996;287.60116244057144;userspace;2300000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL1;0.34;10087296.0;2888.0;0.0;31.275000000000002;0.59339;18.55827225;userspace;1900000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL2;3867753.51;13461027.0;3528.0;2.0;43.130028985507245;67.448821;2909.0696047682895;userspace;1900000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL3;1124955.8;1674582.0;1280.0;2.0;45.07414285714285;6.97679;314.4728291442857;userspace;1900000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL1;0.34;10086958.0;3272.0;0.0;30.439666666666668;0.749315;22.808898828333334;userspace;1500000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL2;3867753.51;13460593.0;4008.0;2.0;40.2296265060241;81.742928;3288.4874629488195;userspace;1500000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL3;1124955.8;1674390.0;1472.0;2.0;41.68644444444445;8.691039;362.29851443800004;userspace;1500000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL1;0.34;10086390.0;3656.0;0.0;31.750666666666667;0.886172;28.13655178133333;userspace;1200000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL2;3867753.51;13459929.0;4488.0;2.0;38.42559;98.678084;3791.76359776956;userspace;1200000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL3;1124955.8;1674186.0;1664.0;2.0;39.41218181818182;10.708406;422.0416442549091;userspace;1200000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL1;0.34;10085996.0;4040.0;0.0;30.798333333333332;0.873802;26.91164526333333;userspace;800000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
Q1;PL2;3867753.51;13459439.0;4968.0;2.0;37.191319327731094;118.009712;4388.93688276558;userspace;800000;tpch_sf30;2;HT: Disabled;C-states: Enabled;TurboBoost: Disabled;PC: i7
